kod,title,task_id,distractor_1,distractor_2,distractor_3,target
09B13D,Going on a hike,30,promoted,extended,presented,announced
09B13D,Going on a hike,31,delighted,inspired,excited,interested
09B13D,Going on a hike,32,Moreover,Although,Otherwise,However
09B13D,Going on a hike,33,heavy,strong,rich,thick
09B13D,Going on a hike,34,review,remember,reflect,remind
09B13D,Going on a hike,35,obtaining,offending,objecting,observing
09B13D,Going on a hike,36,talked,spoke,said,told
0EAA8F,Olivia,32,kept,held,used,formed
0EAA8F,Olivia,33,called,greeted,met,introduced
0EAA8F,Olivia,34,involved,appealed,engaged,attracted
0EAA8F,Olivia,35,up,down,on,out
0EAA8F,Olivia,36,tell,discuss,say,talk
0EAA8F,Olivia,37,determined,revealed,disclosed,discovered
0EAA8F,Olivia,38,matter,account,cause,reason
15e618,Daphne,30,resembled,received,reviewed,recognised
15e618,Daphne,31,visualise,invent,expect,imagine
15e618,Daphne,32,travel,voyage,journey,tour
15e618,Daphne,33,problem,fault,worry,trouble
15e618,Daphne,34,succeeded,fulfilled,completed,managed
15e618,Daphne,35,approve,arrange,allow,afford
15e618,Daphne,36,arrange,provide,continue,maintain
1B7697,My second visit,32,cheerful,forgetful,doubtful,careful
1B7697,My second visit,33,recovered,reviewed,remembered,reminded
1B7697,My second visit,34,expecting,delaying,pausing,waiting
1B7697,My second visit,35,viewed,watched,looked,saw
1B7697,My second visit,36,inclined,influenced,inspired,impressed
1B7697,My second visit,37,suggest,submit,supervise,suppose
1B7697,My second visit,38,end,fall,sink,drop
204265,Michaels holidays,32,to,in,at,on
204265,Michaels holidays,33,affection,connection,relation,attention
204265,Michaels holidays,34,considerably,completely,perfectly,definitely
204265,Michaels holidays,35,demand,escape,concern,bother
204265,Michaels holidays,36,turns,gives,takes,makes
204265,Michaels holidays,37,Although,Moreover,Otherwise,Nevertheless
204265,Michaels holidays,38,talked,spoke,said,told
207FE9,A visit,32,on,in,of,off
207FE9,A visit,33,watched,looked,glanced,seen
207FE9,A visit,34,took,carried,passed,brought
207FE9,A visit,35,satisfy,please,prefer,enjoy
207FE9,A visit,36,thought,notice,brain,mind
207FE9,A visit,37,spot,dot,step,point
207FE9,A visit,38,manage,achieve,fulfil,succeed
1234,Memories,32,stared,watched,saw,lookes
1234,Memories,33,nearly,rarely,merely,hardly
1234,Memories,34,at,of,in,on
1234,Memories,35,grow,bring,clear,cheer
1234,Memories,36,revised,recalled,remembered,reminded
1234,Memories,37,arrangement,argument,achievement,agreement
1234,Memories,38,Nevertheless,Although,However,Moreover
1112,Mr. Thoreau in Concord,32,achieve,arrive,enter,reach
1112,Mr. Thoreau in Concord,33,However,Although,Moreover,Therefore
1112,Mr. Thoreau in Concord,34,fond,crazy,eager,keen
1112,Mr. Thoreau in Concord,35,say,speak,talk,say
1112,Mr. Thoreau in Concord,36,take,keep,gain,make
1112,Mr. Thoreau in Concord,37,attached,attended,connected,accompanied
1112,Mr. Thoreau in Concord,38,against,outside,besides,instead
28EF4E,Emily,30,off,in,on,up
28EF4E,Emily,31,say,speak,talk,tell
28EF4E,Emily,32,merely,rarely,nearly,hardly
28EF4E,Emily,33,timed,governed,tested,occupied
28EF4E,Emily,34,review,remind,revise,remember
28EF4E,Emily,35,wandered,considered,regarded,wondered
28EF4E,Emily,36,pleased,amused,satisfied,enjoyed
3759BA,A girl from Uganda,30,supplied,suspected,succeeded,supposed
3759BA,A girl from Uganda,31,say,talk,speak,tell
3759BA,A girl from Uganda,32,approved,admitted,afforded,allowed
3759BA,A girl from Uganda,33,Despite,Otherwise,Likewise,However
3759BA,A girl from Uganda,34,reservation,admiration,appreciation,determination
3759BA,A girl from Uganda,35,abandoned,controversial,sympathetic,entusiastic
3759BA,A girl from Uganda,36,involved,intended,impressed,inspired
3AA36E,The effect of the temperature,32,huge,high,big,long
3AA36E,The effect of the temperature,33,amuse,enjoy,prefer,please
3AA36E,The effect of the temperature,34,in,from,for,on
3AA36E,The effect of the temperature,35,observed,watched,glanced,looked
3AA36E,The effect of the temperature,36,Moreover,Therefore,However,Although
3AA36E,The effect of the temperature,37,fulfilled,managed,achieved,succeeded
3AA36E,The effect of the temperature,38,stay,gain,hold,keep
42247C,A day in Chicago,32,achieved,succeeded,completed,managed
42247C,A day in Chicago,33,reflecting,recovering,restoring,reciting
42247C,A day in Chicago,34,amused,confused,attractive,enthusiastic
42247C,A day in Chicago,35,spoke,told,talked,said
42247C,A day in Chicago,36,quantity,capacity,volume,number
42247C,A day in Chicago,37,got,went,held,came
42247C,A day in Chicago,38,Although,Therefore,Moreover,Nevertheless
46Dc86,Sheila,30,path,trail,track,way
46Dc86,Sheila,31,recorded,remained,received,required
46Dc86,Sheila,32,approved,accepted,admitted,admired
46Dc86,Sheila,33,join,enlist,enroll,enter
46Dc86,Sheila,34,moreover,therefore,otherwise,although
46Dc86,Sheila,35,lacked,lost,missed,failed
46Dc86,Sheila,36,fulfilled,achieved,succeeded,managed
485615,Julie,30,worry,envy,duty,hurry
485615,Julie,31,suggested,provided,supplied,offered
485615,Julie,32,inspire,impress,influence,improve
485615,Julie,33,occasion,matter,incident,accident
485615,Julie,34,career,profession,occupation,job
485615,Julie,35,assisted,allowed,admitted,accepted
485615,Julie,36,therefore,otherwise,moreover,although
4CCC78,Two years in a hut,32,agree,secure,ensure,prove
4CCC78,Two years in a hut,33,Including,Regarding,Concerning,According
4CCC78,Two years in a hut,34,says,talks,speaks,tells
4CCC78,Two years in a hut,35,kept,made,held,used
4CCC78,Two years in a hut,36,amuse,please,satisfy,enjoy
4CCC78,Two years in a hut,37,turns,gives,takes,makes
4CCC78,Two years in a hut,38,Although,Otherwise,Moreover,However
53CB68,Becky,32,look,view,glimpse,sight
53CB68,Becky,33,offered,proposed,assumed,suggested
53CB68,Becky,34,tell,mention,chat,speak
53CB68,Becky,35,after,into,over,down
53CB68,Becky,36,dwelt,dealt,talked,touched
53CB68,Becky,37,remembered,recollected,revised,reminded
53CB68,Becky,38,trip,travel,journey,tour
546EB0,The man on the trail,32,watched,noticed,observed,looked
546EB0,The man on the trail,33,therefore,otherwise,however,although
546EB0,The man on the trail,34,revise,review,remind,remember
546EB0,The man on the trail,35,at,by,on,of
546EB0,The man on the trail,36,achieved,completed,succeeded,managed
546EB0,The man on the trail,37,mark,change,result,effect
546EB0,The man on the trail,38,certain,general,common,familiar
5BB43D,Solo travelling,32,revise,review,recall,remind
5BB43D,Solo travelling,33,in,on,of,at
5BB43D,Solo travelling,34,dependable,consistent,reliable,responsible
5BB43D,Solo travelling,35,speak,talk,tell,say
5BB43D,Solo travelling,36,take,hold,make,keep
5BB43D,Solo travelling,37,Therefore,Otherwise,However,Moreover
5BB43D,Solo travelling,38,fulfil,achieve,manage,succeed
5D7BE0,At the office,30,expecting,demanding,requiring,waiting
5D7BE0,At the office,31,say,speak,talk,tell
5D7BE0,At the office,32,Although,Therefore,Moreover,However
5D7BE0,At the office,33,bothered,annoyed,troubled,worried
5D7BE0,At the office,34,destruction,demonstration,determination,departure
5D7BE0,At the office,35,recognized,regarded,remained,respected
5D7BE0,At the office,36,admire,accept,appreciate,approve
5FA4FA,Henry,30,recognize,remind,receive,remember
5FA4FA,Henry,31,seize,grab,catch,pick
5FA4FA,Henry,32,out,of,off,up
5FA4FA,Henry,33,repeated,regarded,remained,realized
5FA4FA,Henry,34,accepted,approved,afforded,allowed
5FA4FA,Henry,35,demanded,directed,depended,decided
5FA4FA,Henry,36,despite,because,until,though
6F4601,At the library,30,seeing,watching,blinking,staring
6F4601,At the library,31,said,talked,spoke,told
6F4601,At the library,32,replica,twin,double,image
6F4601,At the library,33,reproduction,recollection,responsibility,resemblance
6F4601,At the library,34,however,moreover,although,therefore
6F4601,At the library,35,raised,grown,risen,brought
6F4601,At the library,36,revealed,remained,registered,regretted
7A0eFF,A new family,30,quick,fast,prompt,soon
7A0eFF,A new family,31,application,admission,addition,affection
7A0eFF,A new family,32,holding,keeping,making,doing
7A0eFF,A new family,33,heightening,advancing,raising,growing
7A0eFF,A new family,34,accessible,obtainable,permissible,available
7A0eFF,A new family,35,implied,progressed,promoted,improved
7A0eFF,A new family,36,present,provide,allow,afford
830963,A famous athlete,30,succeed,complete,achieve,manage
830963,A famous athlete,31,convinced,concerned,confessed,considered
830963,A famous athlete,32,pushed,fought,crashed,broke
830963,A famous athlete,33,However,Nevertheless,Moreover,Although
830963,A famous athlete,34,admiration,expectation,appreciation,determination
830963,A famous athlete,35,predicts,permits,pretends,provides
830963,A famous athlete,36,reviews,revises,remembers,reminds
89FE4A,Maggie,32,hold,fix,bring,keep
89FE4A,Maggie,33,admitted,approved,attracted,admired
89FE4A,Maggie,34,for,on,in,at
89FE4A,Maggie,35,expressed,indicated,involved,impressed
89FE4A,Maggie,36,watched,saw,glanced,looked
89FE4A,Maggie,37,bearing,dressing,clothing,wearing
89FE4A,Maggie,38,making,causing,having,doing
943703,A night in the Eifel Tower,32,at,over,for,of
943703,A night in the Eifel Tower,33,staring,seeing,looking,watching
943703,A night in the Eifel Tower,34,probability,ability,availability,opportunity
943703,A night in the Eifel Tower,35,kept,took,gave,held
943703,A night in the Eifel Tower,36,amusing,preferring,pleasing,enjoying
943703,A night in the Eifel Tower,37,handled,achieved,maintained,managed
943703,A night in the Eifel Tower,38,moreover,therefore,however,although
9ADFF3,A busy day,32,therefore,however,moreover,although
9ADFF3,A busy day,33,glanced,watched,looked,seen
9ADFF3,A busy day,34,concerning,regarding,including,according
9ADFF3,A busy day,35,track,path,road,way
9ADFF3,A busy day,36,promise,proposal,possibility,permission
9ADFF3,A busy day,37,sharply,roughly,nearly,hardly
9ADFF3,A busy day,38,harm,shame,blame,fault
A57B61,A hard task,32,admire,adore,envy,enjoy
A57B61,A hard task,33,suspected,succeeded,supported,supposed
A57B61,A hard task,34,refund,revenge,regret,relief
A57B61,A hard task,35,telling,talking,saying,speaking
A57B61,A hard task,36,watched,glanced,saw,looked
A57B61,A hard task,37,wherever,whenever,whoever,whatever
A57B61,A hard task,38,round,over,down,off
A5C497,My uncle,30,resulted,achieved,succeeded,managed
A5C497,My uncle,31,view,way,sense,case
A5C497,My uncle,32,departed,digressed,distracted,disappeared
A5C497,My uncle,33,review,revise,remember,remind
A5C497,My uncle,34,made,kept,held,took
A5C497,My uncle,35,add,link,fit,join
A5C497,My uncle,36,plan,topic,theme,routine
AA9C71,In Willis Tower,32,afford,access,attend,allow
AA9C71,In Willis Tower,33,remarked,mentioned,reflected,noticed
AA9C71,In Willis Tower,34,about,over,down,out
AA9C71,In Willis Tower,35,arrived,achieved,emerged,reached
AA9C71,In Willis Tower,36,Hopefully,Essentially,Absolutely,Obviously
AA9C71,In Willis Tower,37,spoke,said,talked,told
AA9C71,In Willis Tower,38,Nevertheless,Moreover,However,although
AE7042,A nice surprise,32,otherwise,therefore,although,however
AE7042,A nice surprise,33,propose,suggest,consent,arrange
AE7042,A nice surprise,34,promise,proposal,possibility,permission
AE7042,A nice surprise,35,on,in,by,at
AE7042,A nice surprise,36,speak,say,talk,tell
AE7042,A nice surprise,37,gain,keep,take,make
AE7042,A nice surprise,38,included,inclined,involved,inspired
AFEA4C,An unforgettable trip,32,high,big,huge,long
AFEA4C,An unforgettable trip,33,striking,striving,straining,struggling
AFEA4C,An unforgettable trip,34,else,still,yet,just
AFEA4C,An unforgettable trip,35,make,take,keep,give
AFEA4C,An unforgettable trip,36,however,therefore,moreover,although
AFEA4C,An unforgettable trip,37,connect,link,unite,join
AFEA4C,An unforgettable trip,38,on,to,at,by
B30363,My day,32,watched,saw,glimpsed,looked
B30363,My day,33,satisfied,preferred,approved,enjoyed
B30363,My day,34,doing,going,passing,making
B30363,My day,35,individually,respectively,independently,respectively
B30363,My day,36,reminded,recollected,repeated,resembled
B30363,My day,37,keeping,taking,putting,holding
B30363,My day,38,raised,grew,lifted,rose
C30B47,Going on a conference,32,showed,held,turned,seemed
C30B47,Going on a conference,33,attractive,confused,amused,enthusiastic
C30B47,Going on a conference,34,noticed,observed,watched,looked
C30B47,Going on a conference,35,for,from,of,on
C30B47,Going on a conference,36,therefore,however,otherwise,moreover
C30B47,Going on a conference,37,succeeded,suspected,supported,supposed
C30B47,Going on a conference,38,got,gave,made,did
C7471A,Ted,32,though,understood,mentioned,supposed
C7471A,Ted,33,down,up,over,out
C7471A,Ted,34,held,took,kept,caught
C7471A,Ted,35,side,part,place,hand
C7471A,Ted,36,for,from,to,into
C7471A,Ted,37,missed,wished,lacked,failed
C7471A,Ted,38,theme,topic,object,subject
CC8BBB,What is wayfinding?,30,make,keep,hold,take
CC8BBB,What is wayfinding?,31,recall,refer,reply,rely
CC8BBB,What is wayfinding?,32,attraction,application,addition,attention
CC8BBB,What is wayfinding?,33,watch,glance,see,look
CC8BBB,What is wayfinding?,34,reserves,requests,reckons,requies
CC8BBB,What is wayfinding?,35,extended,promoted,presented,announced
CC8BBB,What is wayfinding?,36,pretended,prevented,prepared,predicted
CC9419,Ronda and Max,30,supplied,submitted,substituted,suggested
CC9419,Ronda and Max,31,failing,lacking,losing,missing
CC9419,Ronda and Max,32,approved,admired,admitted,agreed
CC9419,Ronda and Max,33,talked,said,spoke,told
CC9419,Ronda and Max,34,merely,hardly,rarely,really
CC9419,Ronda and Max,35,make,keep,hold,do
CC9419,Ronda and Max,36,voyage,road,tour,trip
CDBA0D,At the party,30,accepted,assumed,achieved,agrred
CDBA0D,At the party,31,manner,state,tone,mood
CDBA0D,At the party,32,otherwise,moreover,however,although
CDBA0D,At the party,33,spoke,told,talked,said
CDBA0D,At the party,34,reviewed,regretted,recalled,realized
CDBA0D,At the party,35,concern,worry,trouble,bother
CDBA0D,At the party,36,away,before,after,forward
E486BB,Kevin Stone,32,fitted,fixed,started,turned
E486BB,Kevin Stone,33,failing,lacking,flopping,missing
E486BB,Kevin Stone,34,regions,spaces,zones,areas
E486BB,Kevin Stone,35,viewed,watched,looked,seen
E486BB,Kevin Stone,36,however,moreover,therefore,though
E486BB,Kevin Stone,37,advanced,improved,increased,developed
E486BB,Kevin Stone,38,temper,humour,spirit,mood
E878E5,Good news,32,saw,noticed,watched,looked
E878E5,Good news,33,on,at,to,for
E878E5,Good news,34,keep,turn,put,run
E878E5,Good news,35,Moreover,Otherwise,Although,Nevertheless
E878E5,Good news,36,filled,linked,joined,shared
E878E5,Good news,37,achievement,argument,arrangement,agreement
E878E5,Good news,38,whoever,whatever,wherever,whenever
F46406,A sign of weakness?,32,out,up,to,for
F46406,A sign of weakness?,33,related,referred,connected,treated
F46406,A sign of weakness?,34,watch,glance,see,look
F46406,A sign of weakness?,35,review,revise,remind,remember
F46406,A sign of weakness?,36,including,concerning,regarding,according
F46406,A sign of weakness?,37,although,therefore,otherwise,however
F46406,A sign of weakness?,38,judge,matter,consider,count
FE9E08,Good news,32,however,therefore,moreover,although
FE9E08,Good news,33,admitted,confirmed,agreed,promised
FE9E08,Good news,34,reminding,reviewing,revising,remembering
FE9E08,Good news,35,succeeded,achieved,maintained,managed
FE9E08,Good news,36,speak,talk,say,tell
FE9E08,Good news,37,off,out,over,down
FE9E08,Good news,38,at,by,to,of
1113,Kevin,30,say,speak,talk,tell
1113,Kevin,31,achieved,fulfilled,succeeded,managed
1113,Kevin,32,wandered,warned,wasted,wondered
1113,Kevin,33,adapt,adopt,assume,admit
1113,Kevin,34,move,pace,walk,step
1113,Kevin,35,supported,admired,appreciated,approved
1113,Kevin,36,improved,influenced,interested,impressed
1114,An invitation,30,occasion,incident,accident,event
1115,Owen,30,arrived,achieved,appeared,entered
1116,Dan and Lynn,30,increasing,including,insisting,encouraging
1117,Max,30,out,off,around,down
1118,Travel friendship,30,though,however,but,so
1119,Onions and garlic,30,from,off,over,of
1114,An invitation,31,suggested,approved,assured,supposed
1115,Owen,31,revised,remembered,reviewed,reminded
1116,Dan and Lynn,31,suspected,inspected,demanded,expected
1117,Max,31,admitting,accepting,assuming,agreeing
1118,Travel friendship,31,impatient,irritated,afraid,worried
1119,Onions and garlic,31,over,to,down,up
1114,An invitation,32,admitted,afforded,adopted,agreed
1115,Owen,32,succeeded,fulfilled,completed,manged
1116,Dan and Lynn,32,regard,recover,review,realize
1117,Max,32,enjoyed,appealed,admired,pleased
1118,Travel friendship,32,parting,farewell,greetings,welcome
1119,Onions and garlic,32,talked,said,spoke,told
1114,An invitation,33,said,spoke,talked,told
1115,Owen,33,devoted,declared,defined,delivered
1116,Dan and Lynn,33,missed,cut,lost,lacked
1117,Max,33,reminded,revised,respected,remembered
1118,Travel friendship,33,provide,found,prepare,organize
1119,Onions and garlic,33,take,do,keep,make
1114,An invitation,34,moreover,however,therefore,although
1115,Owen,34,suggested,proposed,submitted,supplied
1116,Dan and Lynn,34,enjoyed,pleased,satisfied,preferred
1117,Max,34,beaten,blown,kicked,struck
1118,Travel friendship,34,used,kept,held,spent
1119,Onions and garlic,34,regard,reserve,release,return
1114,An invitation,35,remembered,revised,reviewed,reminded
1115,Owen,35,detected,invented,explored,discovered
1116,Dan and Lynn,35,held,made,took,kept
1117,Max,35,commanded,ordered,intended,demanded
1118,Travel friendship,35,through,in,after,for
1119,Onions and garlic,35,case,general,spite,fact
1114,An invitation,36,approached,advanced,persuaded,followed
1115,Owen,36,Moreover,Although,Therefore,However
1116,Dan and Lynn,36,across,aside,around,along
1117,Max,36,seemed,changed,occurred,turned
1118,Travel friendship,36,have,search,ask,find
1119,Onions and garlic,36,promised,insisted,confessed,declared
1111,Ronda,30,entered,achieved,reached,arrived
1111,Ronda,31,inspecting,peeping,viewing,glancing
1111,Ronda,32,remarked,recognized,indicated,noticed
1111,Ronda,33,happened,occurred,developed,appeared
1111,Ronda,34,proposed,announced,welcomed,introduced
1111,Ronda,35,hold,keep,put,make
1111,Ronda,36,apologized,dissatisfied,displeased,regretted